id	genes
DarmanisBarres_mixOPCOligNeurons_1	ENSG00000166192, ENSG00000171951, ENSG00000123560, ENSG00000180287, ENSG00000175352, ENSG00000072163, ENSG00000174611, ENSG00000171004, ENSG00000127252, ENSG00000168453, ENSG00000136235, ENSG00000187957, ENSG00000187699
DarmanisBarres_mixOPCOligNeurons_2	ENSG00000090612, ENSG00000151229, ENSG00000144230, ENSG00000101311, ENSG00000197927
DarmanisBarres_Neurons	ENSG00000163032, ENSG00000144406, ENSG00000166448, ENSG00000154096, ENSG00000163630, ENSG00000132639, ENSG00000136531, ENSG00000021645, ENSG00000214548, ENSG00000184368, ENSG00000113327, ENSG00000145864, ENSG00000022355, ENSG00000106976, ENSG00000237289, ENSG00000122966, ENSG00000089199, ENSG00000101489, ENSG00000187094, ENSG00000070808
DarmanisBarres_Neurons_1	ENSG00000163032, ENSG00000144406, ENSG00000166448, ENSG00000163630, ENSG00000132639, ENSG00000136531, ENSG00000021645, ENSG00000184368, ENSG00000113327, ENSG00000145864, ENSG00000022355, ENSG00000106976, ENSG00000237289, ENSG00000122966, ENSG00000089199, ENSG00000101489, ENSG00000187094, ENSG00000070808
DarmanisBarres_Neurons_2	ENSG00000154096, ENSG00000214548
DarmanisBarres_Oligodendrocytes	ENSG00000174607, ENSG00000164124, ENSG00000091513, ENSG00000129538, ENSG00000197430, ENSG00000168314, ENSG00000105695, ENSG00000198121, ENSG00000167755, ENSG00000164161, ENSG00000169562, ENSG00000086205, ENSG00000136541, ENSG00000136960, ENSG00000244274, ENSG00000150656, ENSG00000013297, ENSG00000172508, ENSG00000092529, ENSG00000141338
DarmanisBarres_Oligodendrocytes_1	ENSG00000174607, ENSG00000164124, ENSG00000091513, ENSG00000129538, ENSG00000197430, ENSG00000168314, ENSG00000105695, ENSG00000198121, ENSG00000167755, ENSG00000164161, ENSG00000169562, ENSG00000086205, ENSG00000136541, ENSG00000136960, ENSG00000244274, ENSG00000150656, ENSG00000013297, ENSG00000172508, ENSG00000092529, ENSG00000141338
DarmanisBarres_Oligodendrocytes_2	
DarmanisBarres_OPCs	ENSG00000134853, ENSG00000103489, ENSG00000124731, ENSG00000116147, ENSG00000104611, ENSG00000112902, ENSG00000168461, ENSG00000150275, ENSG00000157890, ENSG00000187398, ENSG00000188906, ENSG00000187416, ENSG00000091128, ENSG00000196083, ENSG00000170961, ENSG00000166573, ENSG00000160219, ENSG00000103196, ENSG00000197299, ENSG00000156966
DarmanisBarres_OPCs_1	ENSG00000134853, ENSG00000103489, ENSG00000116147, ENSG00000157890, ENSG00000187398, ENSG00000156966
DarmanisBarres_OPCs_2	ENSG00000124731, ENSG00000104611, ENSG00000112902, ENSG00000168461, ENSG00000150275, ENSG00000188906, ENSG00000187416, ENSG00000091128, ENSG00000196083, ENSG00000170961, ENSG00000166573, ENSG00000160219, ENSG00000103196, ENSG00000197299
Puchalski_IVYGAP_cellular_tumor	ENSG00000180447, ENSG00000205927, ENSG00000182103, ENSG00000276043, ENSG00000171451, ENSG00000101265, ENSG00000132692, ENSG00000005513, ENSG00000121005, ENSG00000144485, ENSG00000006468, ENSG00000166925, ENSG00000175928, ENSG00000170390, ENSG00000111783, ENSG00000167670, ENSG00000140262, ENSG00000197299, ENSG00000137804, ENSG00000114200, ENSG00000150722, ENSG00000162512, ENSG00000162599, ENSG00000078900, ENSG00000106785, ENSG00000175093, ENSG00000168298, ENSG00000103260, ENSG00000134824, ENSG00000182580, ENSG00000186193, ENSG00000106003, ENSG00000182175, ENSG00000140832, ENSG00000132182, ENSG00000119403, ENSG00000105767, ENSG00000187837, ENSG00000163873, ENSG00000173114, ENSG00000184221, ENSG00000104889
Puchalski_IVYGAP_cellular_tumor_1	ENSG00000205927, ENSG00000182103, ENSG00000171451, ENSG00000101265, ENSG00000005513, ENSG00000144485, ENSG00000166925, ENSG00000111783, ENSG00000150722, ENSG00000162512, ENSG00000162599, ENSG00000078900, ENSG00000106785, ENSG00000134824, ENSG00000182175, ENSG00000105767, ENSG00000184221
Puchalski_IVYGAP_cellular_tumor_2	ENSG00000180447, ENSG00000276043, ENSG00000132692, ENSG00000121005, ENSG00000006468, ENSG00000175928, ENSG00000170390, ENSG00000167670, ENSG00000140262, ENSG00000197299, ENSG00000137804, ENSG00000114200, ENSG00000175093, ENSG00000168298, ENSG00000103260, ENSG00000182580, ENSG00000186193, ENSG00000106003, ENSG00000140832, ENSG00000132182, ENSG00000119403, ENSG00000187837, ENSG00000163873, ENSG00000173114, ENSG00000104889
